Name,Set,Type,Quantity,Prev Raw Price,Raw Price,Delta Raw Price,Prev PSA 10 Price,PSA 10 Price,Delta PSA 10 Price,Delta Raw Total,lookupID,ID
Combee,Astral Radiance,Normal,1,0,0.78,0.78,0,25.18,25.18,0.78,pokemon-astral-radiance/combee-11,1672
Drifloon,Astral Radiance,Normal,1,0,0.54,0.54,0,45.69,45.69,0.54,pokemon-astral-radiance/drifloon-63,1665
Gardenia's Vigor,Astral Radiance,Normal,1,0,0.95,0.95,0,25.86,25.86,0.95,pokemon-astral-radiance/gardenia's-vigor-143,947
Jirachi V,Astral Radiance,Normal,1,0,7.46,7.46,0,76.21,76.21,7.46,pokemon-astral-radiance/jirachi-v-170,1276
Ralts,Astral Radiance,Normal,1,0,1.1,1.1,0,18.49,18.49,1.1,pokemon-astral-radiance/ralts-60,136
Regirock,Astral Radiance,Normal,1,0,1.05,1.05,0,26.23,26.23,1.05,pokemon-astral-radiance/regirock-75,395
Sudowoodo,Astral Radiance,Normal,1,0,0.99,0.99,0,26.72,26.72,0.99,pokemon-astral-radiance/sudowoodo-74,588
Temple of Sinnoh,Astral Radiance,Normal,1,0,1.31,1.31,0,27.23,27.23,1.31,pokemon-astral-radiance/temple-of-sinnoh-155,1430
Whiscash,Astral Radiance,Normal,1,0,0.88,0.88,0,25.58,25.58,0.88,pokemon-astral-radiance/whiscash-36,961
Yanma,Astral Radiance,Normal,1,0,1.41,1.41,0,0.0,0.0,1.41,pokemon-astral-radiance/yanma-6,638
Barry,Brilliant Stars,Normal,6,0,0.73,0.73,0,25.0,25.0,4.38,pokemon-brilliant-stars/barry-130,531
Boss's Orders,Brilliant Stars,Reverse Holo,1,0,1.0,1.0,0,26.01,26.01,1.0,pokemon-brilliant-stars/boss's-orders-reverse-holo-132,1120
Cafe Master,Brilliant Stars,Normal,1,0,1.09,1.09,0,25.45,25.45,1.09,pokemon-brilliant-stars/cafe-master-133,1777
Castform,Brilliant Stars,Normal,1,0,0.81,0.81,0,25.31,25.31,0.81,pokemon-brilliant-stars/castform-116,668
Cherubi,Brilliant Stars,Normal,1,0,0.71,0.71,0,24.91,24.91,0.71,pokemon-brilliant-stars/cherubi-12,1445
Chimchar,Brilliant Stars,Normal,1,0,0.87,0.87,0,22.2,22.2,0.87,pokemon-brilliant-stars/chimchar-24,773
Chimecho,Brilliant Stars,Normal,1,0,0.38,0.38,0,0.0,0.0,0.38,pokemon-brilliant-stars/chimecho-63,1498
Choice Belt,Brilliant Stars,Normal,1,0,0.73,0.73,0,25.0,25.0,0.73,pokemon-brilliant-stars/choice-belt-135,1186
Claydol,Brilliant Stars,Normal,1,0,0.18,0.18,0,22.9,22.9,0.18,pokemon-brilliant-stars/claydol-59,636
Cleansing Gloves,Brilliant Stars,Reverse Holo,1,0,0.97,0.97,0,25.9,25.9,0.97,pokemon-brilliant-stars/cleansing-gloves-reverse-holo-136,440
Clefairy,Brilliant Stars,Normal,4,0,0.9,0.9,0,25.65,25.65,3.6,pokemon-brilliant-stars/clefairy-53,36
Corphish,Brilliant Stars,Normal,2,0,0.73,0.73,0,25.0,25.0,1.46,pokemon-brilliant-stars/corphish-32,592
Cubchoo,Brilliant Stars,Normal,2,0,0.73,0.73,0,25.0,25.0,1.46,pokemon-brilliant-stars/cubchoo-42,315
Dedenne,Brilliant Stars,Normal,2,0,1.0,1.0,0,26.01,26.01,2.0,pokemon-brilliant-stars/dedenne-67,830
Dusknoir,Brilliant Stars,Normal,2,0,0.96,0.96,0,11.1,11.1,1.92,pokemon-brilliant-stars/dusknoir-62,112
Duskull,Brilliant Stars,Normal,4,0,0.81,0.81,0,25.31,25.31,3.24,pokemon-brilliant-stars/duskull-60,434
Electabuzz,Brilliant Stars,Reverse Holo,1,0,0.95,0.95,0,25.82,25.82,0.95,pokemon-brilliant-stars/electabuzz-reverse-holo-46,387
Escavalier,Brilliant Stars,Reverse Holo,1,0,1.0,1.0,0,26.01,26.01,1.0,pokemon-brilliant-stars/escavalier-reverse-holo-101,481
Exeggcute,Brilliant Stars,Normal,1,0,0.73,0.73,0,25.0,25.0,0.73,pokemon-brilliant-stars/exeggcute-1,454
Farfetch'd,Brilliant Stars,Normal,4,0,0.73,0.73,0,29.6,29.6,2.92,pokemon-brilliant-stars/farfetch'd-115,263
Floatzel,Brilliant Stars,Normal,1,0,0.73,0.73,0,25.0,25.0,0.73,pokemon-brilliant-stars/floatzel-39,1627
Fraxure,Brilliant Stars,Normal,2,0,0.68,0.68,0,24.8,24.8,1.36,pokemon-brilliant-stars/fraxure-111,1273
Fresh Water Set,Brilliant Stars,Normal,3,0,0.5,0.5,0,24.09,24.09,1.5,pokemon-brilliant-stars/fresh-water-set-139,354
Garchomp,Brilliant Stars,Normal,1,0,1.84,1.84,0,19.18,19.18,1.84,pokemon-brilliant-stars/garchomp-109,1425
Gible,Brilliant Stars,Normal,1,0,0.74,0.74,0,25.03,25.03,0.74,pokemon-brilliant-stars/gible-107,246
Gloria,Brilliant Stars,Normal,2,0,0.81,0.81,0,25.28,25.28,1.62,pokemon-brilliant-stars/gloria-141,343
Golett,Brilliant Stars,Normal,1,0,0.87,0.87,0,25.51,25.51,0.87,pokemon-brilliant-stars/golett-82,1577
Grimer,Brilliant Stars,Normal,5,0,0.27,0.27,0,23.21,23.21,1.35,pokemon-brilliant-stars/grimer-84,553
Grotle,Brilliant Stars,Normal,1,0,0.98,0.98,0,25.96,25.96,0.98,pokemon-brilliant-stars/grotle-7,1380
Grotle,Brilliant Stars,Reverse Holo,1,0,0.93,0.93,0,25.76,25.76,0.93,pokemon-brilliant-stars/grotle-reverse-holo-7,1134
Heatran,Brilliant Stars,Normal,2,0,0.87,0.87,0,25.51,25.51,1.74,pokemon-brilliant-stars/heatran-100,1597
Karrablast,Brilliant Stars,Normal,2,0,0.73,0.73,0,0.0,0.0,1.46,pokemon-brilliant-stars/karrablast-15,1368
Kindler,Brilliant Stars,Normal,1,0,1.44,1.44,0,22.2,22.2,1.44,pokemon-brilliant-stars/kindler-170,1686
Klinklang,Brilliant Stars,Reverse Holo,1,0,0.91,0.91,0,25.67,25.67,0.91,pokemon-brilliant-stars/klinklang-reverse-holo-104,691
Luxio,Brilliant Stars,Normal,1,0,0.87,0.87,0,25.5,25.5,0.87,pokemon-brilliant-stars/luxio-50,121
Marnie's Pride,Brilliant Stars,Normal,3,0,0.73,0.73,0,25.0,25.0,2.19,pokemon-brilliant-stars/marnie's-pride-145,772
Minccino,Brilliant Stars,Reverse Holo,1,0,1.23,1.23,0,26.89,26.89,1.23,pokemon-brilliant-stars/minccino-reverse-holo-124,1259
